Make,Risk Score,Injury Rate,Survival Rate,Total Person
fields mike,2.0,1.0,0.0,1
fighter rebuilders,2.0,1.0,0.0,1
finamore,2.0,1.0,0.0,1
floroski,2.0,1.0,0.0,1
flug-und fahrzeugwerke (ffa),2.0,1.0,0.0,1
freeman,2.0,1.0,0.0,1
stirling,2.0,1.0,0.0,1
fowler,2.0,1.0,0.0,1
fox jack g,2.0,1.0,0.0,1
foxair llc,2.0,1.0,0.0,2
foxfly inc,2.0,1.0,0.0,1
foxworthy rick a,2.0,1.0,0.0,1
fpna,2.0,1.0,0.0,1
fpna llc,2.0,1.0,0.0,2
francis,2.0,1.0,0.0,1
rainbow sky reach (pty) ltd,2.0,1.0,0.0,1
frank m. kopecky,2.0,1.0,0.0,1
franke roland,2.0,1.0,0.0,1
franzreb,2.0,1.0,0.0,1
stevenson,2.0,1.0,0.0,2
fred williams,2.0,1.0,0.0,1
frederick r goenne,2.0,1.0,0.0,1
fournier aviation,2.0,1.0,0.0,1
found acft canada inc,2.0,1.0,0.0,3
stolp starduster corp.,2.0,1.0,0.0,2
rainbow aircraft pty ltd,2.0,1.0,0.0,1
fly hard trike inc,2.0,1.0,0.0,1
flying k enterprises,2.0,1.0,0.0,1
flynn van,2.0,1.0,0.0,2
fobes,2.0,1.0,0.0,1
stokes,2.0,1.0,0.0,1
follmer,2.0,1.0,0.0,1
stoddard hamilton,2.0,1.0,0.0,2
foote,2.0,1.0,0.0,1
forbing,2.0,1.0,0.0,2
forest ripley,2.0,1.0,0.0,1
forth,2.0,1.0,0.0,1
stitts,2.0,1.0,0.0,2
northland aviation llc,2.0,1.0,0.0,1
stits flut-r-bug,2.0,1.0,0.0,1
stits aircraft,2.0,1.0,0.0,1
huddleston-bell,2.0,1.0,0.0,2
hughes aero corp,2.0,1.0,0.0,4
na,2.0,1.0,0.0,1
molino oy,2.0,1.0,0.0,1
ludwig larry e,2.0,1.0,0.0,1
roisum team,2.0,1.0,0.0,1
rohdecap/thorp,2.0,1.0,0.0,1
lundak robert,2.0,1.0,0.0,2
resney,2.0,1.0,0.0,1
luscombe silvaire aircraft co.,2.0,1.0,0.0,2
luttenbacher kurt,2.0,1.0,0.0,1
luy wayman,2.0,1.0,0.0,2
huff,2.0,1.0,0.0,1
lycan,2.0,1.0,0.0,1
lyman randall/scott david,2.0,1.0,0.0,1
lynch starduster,2.0,1.0,0.0,2
lyon,2.0,1.0,0.0,1
lyons,2.0,1.0,0.0,2
lyons robert,2.0,1.0,0.0,1
m-squared aircraft,2.0,1.0,0.0,2
ludeman,2.0,1.0,0.0,1
lucky,2.0,1.0,0.0,1
luckett,2.0,1.0,0.0,1
monerai,2.0,1.0,0.0,2
lon j. mcknight,2.0,1.0,0.0,2
long-ez,2.0,1.0,0.0,2
longjev,2.0,1.0,0.0,1
romig,2.0,1.0,0.0,1
lonnie johnson,2.0,1.0,0.0,1
romero,2.0,1.0,0.0,1
lorah elden a,2.0,1.0,0.0,1
mong,2.0,1.0,0.0,1
lorenz stephen,2.0,1.0,0.0,1
rolladen-schneider ohg,2.0,1.0,0.0,2
lounsbery,2.0,1.0,0.0,1
lovern,2.0,1.0,0.0,1
rolladen-schneider gmbh,2.0,1.0,0.0,2
lowther,2.0,1.0,0.0,2
rolladen schneider ohg,2.0,1.0,0.0,1
rogers kenneth j,2.0,1.0,0.0,1
"moffitt, william a.",2.0,1.0,0.0,1
maarten h versteeg,2.0,1.0,0.0,1
moeckel,2.0,1.0,0.0,2
rettberg,2.0,1.0,0.0,2
manta products,2.0,1.0,0.0,1
mantell allan t,2.0,1.0,0.0,1
mantooth,2.0,1.0,0.0,2
manville,2.0,1.0,0.0,1
rockwell intl.,2.0,1.0,0.0,1
rockwell intl,2.0,1.0,0.0,1
mar-flite,2.0,1.0,0.0,4
marchetti,2.0,1.0,0.0,2
marconi fred i jr,2.0,1.0,0.0,2
rockwell comdr,2.0,1.0,0.0,1
margeson/heidebrink,2.0,1.0,0.0,1
maridon,2.0,1.0,0.0,2
marier,2.0,1.0,0.0,1
